Data*Kraków - Aleja Krasińskiego (benzen [jednostka ug/m3])*Kraków - Aleja Krasińskiego (tlenek węgla [jednostka ug/m3])*Kraków - Aleja Krasińskiego (tlenki azotu [jednostka ug/m3])*Kraków - Aleja Krasińskiego (tlenek azotu [jednostka ug/m3])*Kraków - Aleja Krasińskiego (dwutlenek azotu [jednostka ug/m3])*Kraków - Aleja Krasińskiego (pył zawieszony PM10 [jednostka ug/m3])*Kraków - Aleja Krasińskiego (pył zawieszony PM2.5 [jednostka ug/m3])
2023-06-01 01:00,0.6,0.4,49.8,13.4,29.2,  ,
2023-06-01 02:00,0.5,0.4,44.8,12.1,26.3,  ,
2023-06-01 03:00,0.5,0.4,47.5,13.4,27.0,  ,
2023-06-01 04:00,0.6,0.4,91.6,34.0,39.5,  ,
2023-06-01 05:00,0.6,0.5,127.2,54.8,43.3,  ,
2023-06-01 06:00,0.8,0.7,170.2,81.2,45.8,  ,
2023-06-01 07:00,1.1,0.7,185.1,84.8,55.2,  ,
2023-06-01 08:00,1.0,0.6,145.6,55.1,61.1,  ,
2023-06-01 09:00,0.7,0.7,186.2,73.3,74.0,  ,
2023-06-01 10:00,0.6,0.5,118.9,39.2,58.9,  ,
2023-06-01 11:00,0.5,0.5,89.0,24.6,51.3,  ,
2023-06-01 12:00,0.4,0.4,88.9,24.6,51.2,  ,
2023-06-01 13:00,0.4,0.4,104.9,28.5,61.0,  ,
2023-06-01 14:00,0.4,0.5,99.9,27.2,58.1,  ,
2023-06-01 15:00,0.4,0.5,106.0,28.0,63.1,  ,
2023-06-01 16:00,0.5,0.5,150.1,44.2,82.2,  ,
2023-06-01 17:00,0.6,0.6,138.6,37.7,80.7,  ,
2023-06-01 18:00,0.5,0.5,80.8,18.0,53.2,  ,
2023-06-01 19:00,0.5,0.6,137.1,31.5,88.6,  ,
2023-06-01 20:00,0.6,0.7,135.9,24.5,98.3,  ,
2023-06-01 21:00,0.9,0.8,173.3,48.0,99.7,  ,
2023-06-01 22:00,1.1,0.8,135.1,32.5,85.2,  ,
2023-06-01 23:00,0.9,0.7,114.1,26.1,74.0,  ,
2023-06-02 00:00,0.8,0.7,100.1,21.7,66.8,  ,
2023-06-02 01:00,0.7,0.6,77.3,15.0,54.3,  ,
2023-06-02 02:00,0.7,0.5,62.1,11.3,44.8,  ,
2023-06-02 03:00,0.6,0.5,65.6,13.2,45.3,  ,
2023-06-02 04:00,0.7,0.5,86.0,26.2,45.9,  ,
2023-06-02 05:00,0.8,0.6,149.1,62.0,53.9,  ,
2023-06-02 06:00,0.9,0.6,142.4,59.5,51.1,  ,
2023-06-02 07:00,0.9,0.7,177.4,77.3,58.9,  ,
2023-06-02 08:00,1.1,0.6,111.6,42.7,46.2,  ,
2023-06-02 09:00,0.5,0.5,107.2,41.2,44.1,  ,
2023-06-02 10:00,0.5,0.5,95.5,33.7,43.8,  ,
2023-06-02 11:00,0.5,0.5,97.5,35.2,43.6,  ,
2023-06-02 12:00,0.4,0.5,86.0,29.0,41.6,  ,
2023-06-02 13:00,0.5,0.5,105.9,35.4,51.7,  ,
2023-06-02 14:00 ,0.5,93.0,31.5,44.8,  ,
2023-06-02 15:00,0.4,0.5,110.2,35.4,56.0,  ,
2023-06-02 16:00,0.5,0.5,99.2,32.6,49.3,  ,
2023-06-02 17:00,0.5,0.5,90.6,28.6,46.8,  ,
2023-06-02 18:00,0.4,0.5,111.2,35.8,56.2,  ,
2023-06-02 19:00,0.5,0.5,106.1,37.7,48.4,  ,
2023-06-02 20:00,0.4,0.5,108.8,44.1,41.0,  ,
2023-06-02 21:00,0.5,0.6,128.9,53.9,46.3,23.9,10.4,
2023-06-02 22:00,0.5,0.5,104.7,40.8,42.1,25.7,11.4,
2023-06-02 23:00,0.4,0.5,97.6,37.6,39.9,23.6,10.3,
2023-06-03 00:00,0.5,0.7,103.0,40.7,40.7,27.7,12.2,
2023-06-03 01:00,0.8,0.6,103.6,40.1,42.1,32.6,14.2,
2023-06-03 02:00,0.4,0.4,75.2,26.9,34.2,31.7,13.8,
2023-06-03 03:00,0.4,0.4,55.7,19.7,25.4,36.1,16.0,
2023-06-03 04:00,0.4,0.4,56.6,19.7,26.4,35.2,15.8,
2023-06-03 05:00,0.4,0.4,87.7,35.7,33.0,43.6,18.9,
2023-06-03 06:00,0.4,0.4,77.9,32.5,28.0,44.1,19.1,
2023-06-03 07:00,0.5,0.5,107.4,46.4,36.2,51.8,21.9,
2023-06-03 08:00,0.9,0.5,89.1,36.2,33.6,36.1,15.7,
2023-06-03 09:00,0.8,0.5,111.0,45.2,41.7,30.9,13.4,
2023-06-03 10:00,0.5,0.4,97.1,38.6,37.9,25.4,11.0,
2023-06-03 11:00,0.6,0.4,93.6,35.0,39.9,21.6,8.8,
2023-06-03 12:00,0.5,0.4,94.5,35.7,39.8,20.1,8.3,
2023-06-03 13:00,0.5,0.4,103.4,39.5,42.8,18.4,7.5,
2023-06-03 14:00,0.4,0.4,96.7,35.2,42.7,16.6,6.7,
2023-06-03 15:00,0.5,0.5,90.4,31.2,42.6,16.3,6.6,
2023-06-03 16:00,0.4,0.4,88.4,31.9,39.6,15.4,6.3,
2023-06-03 17:00,0.4,0.4,85.6,29.9,39.6,16.3,6.7,
2023-06-03 18:00,0.4,0.4,87.1,28.6,43.7,18.2,7.5,
2023-06-03 19:00,0.4,0.5,93.8,29.6,48.4,18.8,7.7,
2023-06-03 20:00,0.7,0.6,117.6,35.7,62.9,21.5,9.1,
2023-06-03 21:00,0.9,0.9,191.7,73.0,80.0,26.0,11.6,
2023-06-03 22:00,1.0,0.9,179.0,70.0,71.8,25.8,11.5,
2023-06-03 23:00,1.9,1.1,222.1,97.9,71.9,42.4,18.9,
2023-06-04 00:00,1.1,0.7,115.5,39.4,55.0,32.3,14.8,
2023-06-04 01:00,1.0,0.7,101.2,34.6,48.0,32.8,14.5,
2023-06-04 02:00,0.7,    ,25.7,11.4,
2023-06-04 03:00,0.5,0.4,48.6,14.1,27.1,23.3,10.3,
2023-06-04 04:00,0.4,0.4,53.1,15.5,29.3,33.9,14.5,
2023-06-04 05:00,0.6,0.4,56.8,18.2,28.9,34.9,15.1,
2023-06-04 06:00,0.5,0.4,62.3,22.2,28.2,31.8,13.9,
2023-06-04 07:00,0.7,0.4,47.8,15.0,24.8,38.5,16.7,
2023-06-04 08:00,1.5,0.5,64.1,22.7,29.2,34.7,15.0,
2023-06-04 09:00,0.8,0.4,61.6,19.9,31.2,27.1,11.0,
2023-06-04 10:00,0.4,0.4,64.3,21.7,31.0,30.4,12.2,
2023-06-04 11:00,0.4,0.4,67.2,21.4,34.4,20.8,8.4,
2023-06-04 12:00,0.5,0.5,95.3,30.9,47.9,17.9,7.2,
2023-06-04 13:00,0.6,0.5,90.3,29.5,45.1,18.1,7.4,
2023-06-04 14:00,0.4,0.4,80.6,25.5,41.5,17.3,7.0,
2023-06-04 15:00,0.4,0.5,96.3,30.5,49.5,17.0,6.9,
2023-06-04 16:00,0.5,0.5,92.1,28.4,48.5,16.8,6.8,
2023-06-04 17:00,0.4,0.5,105.8,32.9,55.3,17.7,7.2,
2023-06-04 18:00,0.5,0.6,131.8,43.5,65.2,18.9,7.8,
2023-06-04 19:00,0.6,0.6,141.3,48.6,66.7,18.8,7.8,
2023-06-04 20:00,0.6,0.7,163.5,62.1,68.2,20.0,8.2,
2023-06-04 21:00,0.7,1.0,207.4,84.2,78.3,24.8,10.4,
2023-06-04 22:00,1.0,0.7,127.4,38.4,68.6,26.6,12.0,
2023-06-04 23:00,0.8,0.7,126.9,43.4,60.4,28.0,13.1,
2023-06-05 00:00,0.7,0.5,87.7,27.7,45.2,23.4,10.6,
2023-06-05 01:00,0.6,0.5,58.8,15.8,34.6,23.7,10.4,
2023-06-05 02:00,0.4,0.4,36.5,7.0,25.7,23.5,10.1,
2023-06-05 03:00,0.4,0.3,37.2,8.8,23.7,23.6,10.1,
2023-06-05 04:00,0.4,0.4,48.1,13.2,27.9,24.3,10.3,
2023-06-05 05:00,0.4,0.5,164.6,77.0,46.6,26.9,12.5,
2023-06-05 06:00,0.8,0.7,261.9,127.4,66.5,36.8,16.4,
2023-06-05 07:00,0.7,0.7,210.1,97.8,60.0,32.8,15.5,
2023-06-05 08:00,0.9,0.6,190.8,84.0,62.0,36.2,17.6,
2023-06-05 09:00,1.5,0.6,151.1,58.5,61.4,25.9,12.6,
